chunk_file,output_file,chunks,estimated_tokens,embedded,skipped_existing,errors
chunks/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.chunks.jsonl,embeddings/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.embeddings.jsonl,178,120270,178,0,[]
chunks/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.chunks.jsonl,embeddings/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.embeddings.jsonl,200,131146,200,0,[]
chunks/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.chunks.jsonl,embeddings/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.embeddings.jsonl,281,193130,281,0,[]
chunks/good/конс. жертв секс. насил..chunks.jsonl,embeddings/good/конс. жертв секс. насил..embeddings.jsonl,10,6797,10,0,[]
chunks/good/Любовь. ревность..chunks.jsonl,embeddings/good/Любовь. ревность..embeddings.jsonl,8,6078,8,0,[]
"chunks/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.chunks.jsonl","embeddings/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.embeddings.jsonl",321,212274,321,0,[]
chunks/good/Нетипичный секс.chunks.jsonl,embeddings/good/Нетипичный секс.embeddings.jsonl,17,12119,17,0,[]
chunks/good/секс дисф. начало (през).chunks.jsonl,embeddings/good/секс дисф. начало (през).embeddings.jsonl,12,8287,12,0,[]
chunks/good/Сексуальный интеллект.cleaned.chunks.jsonl,embeddings/good/Сексуальный интеллект.cleaned.embeddings.jsonl,146,95706,146,0,[]
chunks/good/Супр. терапия (оконч).chunks.jsonl,embeddings/good/Супр. терапия (оконч).embeddings.jsonl,7,5054,7,0,[]
chunks/good/Х Каплан Сексуальная терапия.chunks.jsonl,embeddings/good/Х Каплан Сексуальная терапия.embeddings.jsonl,84,58316,84,0,[]
chunks/good/Яффе Секс в жизни женщины .cleaned.chunks.jsonl,embeddings/good/Яффе Секс в жизни женщины .cleaned.embeddings.jsonl,157,99870,157,0,[]
chunks/good/Яффе Секс в жизни мужчины .cleaned.chunks.jsonl,embeddings/good/Яффе Секс в жизни мужчины .cleaned.embeddings.jsonl,139,85951,139,0,[]
