original_path,chars_before,chars_after,blocks_total,kept_blocks_count,rejected_blocks_count,review_unclear_blocks_count,cleaning_confidence,categories_removed,warnings
sorted_sources/good/126920_4409ae397650cf3bad5ab99ba9787539.cleaned.txt,537609,525814,377,375,2,108,0.79,{'reject_toc': 2},['review_unclear_blocks:108']
sorted_sources/good/126920_4409ae397650cf3bad5ab99ba9787539.ocr.raw.txt,545539,525826,378,376,2,109,0.79,{'reject_toc': 2},['review_unclear_blocks:109']
sorted_sources/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.cleaned.txt,552605,549857,334,334,0,20,0.78,{},['review_unclear_blocks:20']
sorted_sources/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.cleaned.txt,551578,549305,55,55,0,0,0.8,{},[]
sorted_sources/good/88435_df7b0137c2a7e0ee994a85bfa8f01c63.ocr.raw.txt,552654,549857,334,334,0,20,0.78,{},['review_unclear_blocks:20']
sorted_sources/good/88436_f74ff498f23077badd28e1a443f537ab.cleaned.txt,848053,825736,549,549,0,111,0.76,{},['review_unclear_blocks:111']
sorted_sources/good/88436_f74ff498f23077badd28e1a443f537ab.ocr.raw.txt,858263,825541,549,549,0,111,0.76,{},['review_unclear_blocks:111']
sorted_sources/good/конс. жертв секс. насил..docx,29692,28548,1,1,0,0,0.82,{},[]
sorted_sources/good/Любовь. ревность..docx,26314,25518,1,1,0,0,0.82,{},[]
"sorted_sources/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.cleaned.txt",947933,906568,569,569,0,43,0.8,{},['review_unclear_blocks:43']
"sorted_sources/good/Медицинская сексология и психотерапия сексуальных расстройств, Доморацкий В.А., 2020.ocr.raw.txt",961748,906577,567,567,0,43,0.8,{},['review_unclear_blocks:43']
sorted_sources/good/Нетипичный секс.docx,52033,50903,1,1,0,0,0.82,{},[]
sorted_sources/good/секс дисф. начало (през).docx,35767,34800,1,1,0,0,0.82,{},[]
sorted_sources/good/Секс. обслед. Ж (1).docx,4198,2601,1,1,0,0,0.82,{},[]
sorted_sources/good/Сексуальный интеллект.cleaned.txt,409577,399746,230,229,1,5,0.76,{'reject_toc': 1},['review_unclear_blocks:5']
sorted_sources/good/Сексуальный интеллект.ocr.raw.txt,409867,399746,230,229,1,5,0.76,{'reject_toc': 1},['review_unclear_blocks:5']
sorted_sources/good/Супр. терапия (оконч).docx,21654,21225,1,1,0,0,0.82,{},[]
sorted_sources/good/Х Каплан Сексуальная терапия.docx,246264,245301,1,1,0,0,0.82,{},[]
sorted_sources/good/Яффе Секс в жизни женщины .cleaned.txt,430427,420636,269,268,1,5,0.79,{'reject_bibliography': 1},['review_unclear_blocks:5']
sorted_sources/good/Яффе Секс в жизни женщины .ocr.raw.txt,439155,420924,272,271,1,9,0.79,{'reject_bibliography': 1},['review_unclear_blocks:9']
sorted_sources/good/Яффе Секс в жизни мужчины .cleaned.txt,371532,362658,236,235,1,6,0.77,{'reject_bibliography': 1},['review_unclear_blocks:6']
sorted_sources/good/Яффе Секс в жизни мужчины .ocr.raw.txt,378651,362872,241,240,1,8,0.78,{'reject_bibliography': 1},['review_unclear_blocks:8']
